train_order,algorithm,features,n_features,train_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
51,SVC(probability=True),"(4275, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3902, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3082, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2179, 2172, 2155, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1287, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1095, 1012, 998, 970, 946, 916, 915, 902, 892, 851, 844, 818, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 623, 599, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 372, 368, 363, 327, 157, 8)",201,14.681190300000253,711.84765625,0.7698366471592915,0.8225962394728139,0.8670392335542608,"[[188  50]
 [ 43 116]]"
55,SVC(probability=True),"(4275, 4274, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3902, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3082, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2179, 2172, 2155, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1287, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1095, 1012, 998, 970, 946, 916, 915, 902, 892, 851, 844, 818, 814, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 641, 623, 615, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 372, 368, 363, 327, 157, 29, 8)",205,28.61237660000006,708.65625,0.7690808699209882,0.8225911508027377,0.8685469151437344,"[[188  50]
 [ 41 118]]"
46,SVC(probability=True),"(4275, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3082, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2179, 2172, 2155, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1287, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1095, 1012, 998, 970, 946, 916, 915, 902, 892, 851, 844, 818, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 623, 599, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 372, 368, 363, 327, 157, 8)",200,13.70440890000009,708.765625,0.7682609807973995,0.8215874106302318,0.8659526085531738,"[[188  50]
 [ 43 116]]"
34,SVC(probability=True),"(4275, 4274, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3902, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3082, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2179, 2172, 2155, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1355, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1148, 1095, 1012, 970, 946, 916, 915, 902, 892, 851, 844, 818, 814, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 641, 623, 615, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 372, 368, 363, 327, 157, 29, 8)",205,25.263185199999953,708.66015625,0.765871583697287,0.8225784291275475,0.8719973423251954,"[[193  45]
 [ 43 116]]"
20,SVC(probability=True),"(4275, 4274, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3902, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3082, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2179, 2172, 2155, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1355, 1287, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1148, 1095, 1012, 998, 970, 946, 916, 915, 902, 892, 851, 844, 818, 814, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 641, 623, 615, 599, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 372, 368, 363, 327, 157, 29, 8)",208,41.88846289999992,707.8125,0.7652374319904773,0.8215721446200035,0.8724670649248475,"[[191  47]
 [ 43 116]]"
1,SVC(probability=True),"(4275, 4274, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3902, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3082, 3081, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 3021, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2179, 2172, 2155, 2153, 2130, 2120, 2119, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1355, 1287, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1148, 1095, 1012, 998, 970, 946, 916, 915, 902, 892, 851, 844, 818, 814, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 641, 623, 615, 599, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 372, 368, 363, 327, 157, 29, 8)",212,113.83936839999996,661.29296875,0.7648045048538172,0.8205671322799788,0.8725236727124575,"[[194  44]
 [ 45 114]]"
42,SVC(probability=True),"(4275, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3902, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3082, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2179, 2172, 2155, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1355, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1148, 1095, 1012, 970, 946, 916, 915, 902, 892, 851, 844, 818, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 623, 599, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 372, 368, 363, 327, 157, 8)",201,13.90765780000038,709.484375,0.7644806750856463,0.8215746889550417,0.8713374145932555,"[[193  45]
 [ 43 116]]"
43,SVC(probability=True),"(4275, 4274, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2172, 2155, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1287, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1095, 1012, 998, 970, 946, 916, 915, 902, 892, 851, 844, 818, 814, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 641, 623, 615, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 372, 368, 363, 327, 157, 29, 8)",202,13.816578899999968,708.8515625,0.7643889906404164,0.8190608859374603,0.8666423020923997,"[[188  50]
 [ 41 118]]"
36,SVC(probability=True),"(4275, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2172, 2155, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1287, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1095, 1012, 998, 970, 946, 916, 915, 902, 892, 851, 844, 818, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 623, 599, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 372, 368, 363, 327, 157, 8)",198,14.710878200000025,708.66015625,0.7636788426368946,0.8180584179324732,0.8645375019484746,"[[190  48]
 [ 43 116]]"
50,SVC(probability=True),"(4275, 4274, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3892, 3890, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3082, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2179, 2172, 2155, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1287, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1095, 1012, 998, 970, 946, 916, 915, 902, 892, 851, 844, 818, 814, 813, 808, 798, 783, 719, 711, 705, 701, 698, 666, 662, 641, 623, 615, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 384, 372, 368, 363, 327, 157, 29, 8)",200,16.194568600000366,711.859375,0.7634924101313519,0.8190596137699412,0.8662529486358672,"[[189  49]
 [ 40 119]]"
53,SVC(probability=True),"(4275, 4274, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3902, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3107, 3082, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2876, 2873, 2828, 2806, 2787, 2767, 2765, 2764, 2720, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2325, 2322, 2250, 2219, 2182, 2179, 2172, 2130, 2120, 2115, 2105, 2096, 2095, 2094, 2093, 2092, 2060, 2051, 1981, 1979, 1978, 1975, 1970, 1960, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1736, 1688, 1671, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1435, 1418, 1374, 1365, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1095, 1012, 998, 970, 946, 916, 915, 902, 892, 851, 844, 818, 814, 813, 808, 798, 791, 783, 719, 711, 705, 701, 698, 666, 662, 641, 623, 615, 586, 578, 543, 540, 509, 498, 487, 486, 480, 432, 422, 415, 406, 397, 386, 384, 372, 368, 363, 327, 157, 29)",190,23.267719599999964,708.89453125,0.7630817295488199,0.8195646642749917,0.8640845168574554,"[[187  51]
 [ 45 114]]"
58,SVC(probability=True),"(4275, 4274, 4258, 4251, 4223, 4196, 4195, 4180, 4169, 4167, 4163, 4147, 4135, 4029, 4019, 3968, 3964, 3902, 3897, 3892, 3890, 3884, 3847, 3846, 3845, 3835, 3793, 3780, 3759, 3721, 3720, 3719, 3680, 3611, 3530, 3519, 3430, 3414, 3411, 3337, 3320, 3291, 3279, 3267, 3265, 3258, 3257, 3255, 3236, 3225, 3214, 3211, 3143, 3134, 3125, 3122, 3107, 3082, 3066, 3058, 3042, 3040, 3034, 3027, 3026, 3025, 2972, 2969, 2925, 2920, 2900, 2876, 2873, 2806, 2787, 2767, 2765, 2764, 2720, 2719, 2657, 2598, 2596, 2585, 2500, 2429, 2363, 2332, 2331, 2322, 2219, 2182, 2179, 2172, 2130, 2120, 2115, 2105, 2096, 2094, 2093, 2092, 2080, 2060, 2051, 1981, 1979, 1978, 1975, 1919, 1862, 1852, 1834, 1804, 1796, 1782, 1738, 1688, 1671, 1667, 1639, 1620, 1601, 1590, 1578, 1551, 1531, 1482, 1466, 1449, 1437, 1435, 1418, 1374, 1365, 1355, 1283, 1279, 1270, 1210, 1196, 1178, 1150, 1148, 1095, 1012, 970, 946, 916, 915, 902, 892, 851, 844, 818, 814, 813, 808, 798, 791, 783, 719, 711, 701, 698, 666, 662, 641, 623, 615, 586, 578, 551, 543, 540, 511, 509, 498, 487, 486, 480, 432, 422, 415, 412, 406, 397, 386, 384, 368, 363, 327, 157, 29, 8)",195,24.836362999999892,709.16015625,0.7629632233456176,0.8205607714423835,0.8640075392867121,"[[193  45]
 [ 43 116]]"
