train_order,algorithm,features,n_features,train_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
437,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4267', '4251', '4223', '4195', '4180', '4169', '4141', '4029', '3902', '3897', '3896', '3890', '3884', '3847', '3845', '3829', '3793', '3781', '3780', '3774', '3721', '3720', '3719', '3695', '3680', '3653', '3611', '3519', '3451', '3430', '3339', '3337', '3320', '3279', '3274', '3265', '3258', '3241', '3211', '3145', '3143', '3122', '3081', '3043', '3034', '3027', '3026', '3021', '2925', '2920', '2900', '2899', '2876', '2873', '2849', '2828', '2806', '2720', '2719', '2678', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2338', '2331', '2322', '2179', '2155', '2130', '2094', '2093', '2092', '2045', '1993', '1989', '1981', '1978', '1970', '1960', '1919', '1852', '1837', '1834', '1796', '1688', '1639', '1620', '1590', '1565', '1551', '1531', '1479', '1437', '1435', '1428', '1377', '1374', '1365', '1355', '1277', '1270', '1210', '1194', '1181', '1148', '1095', '902', '892', '851', '844', '818', '814', '798', '783', '752', '666', '662', '641', '623', '615', '540', '511', '509', '498', '486', '482', '480', '422', '415', '406', '384', '368', '363', '327', '157', '8', 'Unnamed: 0')",144,14.095409300000028,2130.36328125,0.8323733084853068,0.8563924050632912,0.914170545212766,"[[203  35]
 [ 30 129]]"
221,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4267', '4251', '4223', '4195', '4169', '4147', '4141', '4029', '3902', '3897', '3896', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3793', '3781', '3780', '3774', '3721', '3720', '3719', '3695', '3680', '3653', '3519', '3451', '3430', '3339', '3337', '3320', '3279', '3274', '3265', '3241', '3211', '3145', '3143', '3122', '3081', '3043', '3034', '3027', '3026', '3021', '2972', '2920', '2900', '2876', '2873', '2849', '2828', '2806', '2803', '2765', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2338', '2331', '2325', '2322', '2179', '2155', '2130', '2119', '2115', '2094', '2093', '2092', '2062', '2045', '1993', '1989', '1981', '1978', '1970', '1960', '1919', '1904', '1852', '1837', '1834', '1804', '1796', '1688', '1663', '1639', '1620', '1590', '1565', '1551', '1531', '1479', '1437', '1435', '1428', '1405', '1377', '1374', '1365', '1355', '1277', '1270', '1210', '1194', '1181', '1148', '1095', '970', '916', '907', '902', '892', '851', '844', '818', '814', '798', '783', '752', '719', '666', '662', '641', '623', '615', '599', '540', '511', '509', '498', '486', '482', '480', '422', '415', '406', '384', '368', '327', '157', '8', 'Unnamed: 0')",158,15.162478400000055,2092.66796875,0.830050524127732,0.8564240506329114,0.9130189119337679,"[[202  36]
 [ 23 136]]"
314,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4251', '4223', '4195', '4169', '4163', '4147', '4141', '4029', '3897', '3896', '3890', '3884', '3848', '3846', '3835', '3829', '3793', '3780', '3774', '3721', '3720', '3719', '3695', '3680', '3653', '3519', '3451', '3430', '3339', '3337', '3323', '3320', '3279', '3274', '3265', '3241', '3211', '3145', '3143', '3081', '3027', '3026', '3021', '2925', '2920', '2900', '2899', '2876', '2873', '2872', '2828', '2806', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2582', '2519', '2403', '2363', '2331', '2322', '2182', '2179', '2155', '2130', '2119', '2115', '2094', '2093', '2092', '2062', '2045', '1989', '1981', '1978', '1970', '1960', '1919', '1852', '1837', '1834', '1796', '1688', '1663', '1639', '1620', '1590', '1565', '1551', '1531', '1479', '1437', '1435', '1428', '1377', '1374', '1365', '1355', '1270', '1210', '1181', '1150', '1148', '1095', '970', '907', '902', '892', '851', '844', '818', '814', '798', '752', '719', '666', '641', '623', '615', '599', '540', '511', '509', '498', '486', '482', '480', '422', '415', '406', '384', '368', '157', 'Unnamed: 0')",140,14.226448399999754,2123.51953125,0.8293756052376742,0.8564873417721518,0.9136012747369022,"[[204  34]
 [ 26 133]]"
318,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4251', '4218', '4195', '4169', '4147', '4141', '4029', '3902', '3897', '3896', '3884', '3846', '3835', '3829', '3781', '3780', '3774', '3721', '3720', '3719', '3695', '3680', '3653', '3519', '3430', '3339', '3337', '3323', '3320', '3279', '3274', '3241', '3211', '3145', '3143', '3122', '3107', '3081', '3043', '3034', '3026', '3021', '2925', '2920', '2900', '2899', '2876', '2873', '2828', '2806', '2720', '2719', '2657', '2598', '2596', '2585', '2519', '2363', '2338', '2331', '2322', '2130', '2119', '2115', '2094', '2093', '2092', '2062', '2045', '1993', '1989', '1981', '1978', '1970', '1852', '1834', '1796', '1663', '1639', '1620', '1590', '1551', '1540', '1531', '1479', '1437', '1435', '1428', '1405', '1377', '1374', '1365', '1355', '1277', '1270', '1210', '1194', '1148', '1095', '916', '907', '902', '892', '851', '844', '818', '814', '798', '783', '752', '719', '666', '662', '641', '623', '615', '599', '540', '511', '498', '486', '480', '422', '415', '397', '384', '368', '327', '157', 'Unnamed: 0')",132,14.43901459999961,2122.0,0.8292271364074321,0.8438291139240507,0.9084454000800731,"[[197  41]
 [ 27 132]]"
341,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4251', '4218', '4195', '4169', '4147', '4141', '4029', '3902', '3897', '3896', '3884', '3846', '3845', '3835', '3829', '3793', '3781', '3780', '3774', '3721', '3720', '3719', '3695', '3680', '3653', '3519', '3451', '3430', '3339', '3337', '3320', '3279', '3274', '3265', '3241', '3211', '3145', '3143', '3122', '3081', '3043', '3034', '3027', '3026', '3021', '2925', '2920', '2900', '2899', '2876', '2873', '2828', '2806', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2582', '2519', '2403', '2363', '2338', '2331', '2322', '2179', '2155', '2130', '2119', '2115', '2094', '2093', '2092', '2062', '2045', '1993', '1989', '1981', '1978', '1970', '1960', '1919', '1852', '1837', '1834', '1796', '1688', '1663', '1639', '1620', '1590', '1565', '1551', '1531', '1479', '1437', '1435', '1428', '1405', '1377', '1374', '1365', '1355', '1277', '1270', '1210', '1194', '1181', '1148', '1095', '970', '907', '902', '892', '851', '844', '818', '814', '798', '783', '752', '719', '666', '662', '641', '623', '615', '599', '540', '511', '498', '486', '480', '422', '415', '397', '384', '368', '327', '157', 'Unnamed: 0')",145,14.305734700000357,2133.046875,0.8279757886761262,0.8589873417721519,0.9161246979381149,"[[201  37]
 [ 25 134]]"
695,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4267', '4251', '4223', '4195', '4147', '4141', '4029', '3902', '3897', '3890', '3884', '3848', '3847', '3846', '3835', '3829', '3793', '3781', '3721', '3720', '3719', '3695', '3680', '3653', '3530', '3519', '3451', '3430', '3417', '3339', '3337', '3320', '3279', '3274', '3258', '3211', '3145', '3143', '3125', '3081', '3043', '3034', '3027', '2969', '2925', '2876', '2873', '2828', '2806', '2803', '2765', '2720', '2719', '2678', '2657', '2596', '2585', '2582', '2429', '2403', '2338', '2331', '2322', '2182', '2155', '2153', '2119', '2115', '2094', '2093', '2092', '2045', '1989', '1981', '1978', '1960', '1919', '1852', '1837', '1834', '1804', '1796', '1782', '1688', '1671', '1663', '1620', '1590', '1565', '1551', '1540', '1531', '1482', '1479', '1437', '1435', '1428', '1405', '1377', '1374', '1365', '1355', '1277', '1210', '1194', '1181', '1150', '1095', '915', '907', '851', '844', '818', '814', '813', '808', '798', '783', '752', '719', '641', '623', '615', '599', '511', '509', '498', '486', '482', '480', '422', '415', '406', '368', '157', '8', 'Unnamed: 0')",139,14.44269820000045,2235.015625,0.8267498719918074,0.8487341772151898,0.9148043836507664,"[[208  30]
 [ 25 134]]"
235,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4267', '4251', '4223', '4195', '4169', '4147', '4141', '4029', '3902', '3897', '3896', '3890', '3884', '3847', '3846', '3835', '3829', '3793', '3781', '3780', '3774', '3721', '3720', '3719', '3695', '3680', '3653', '3519', '3451', '3430', '3339', '3337', '3320', '3279', '3274', '3265', '3241', '3211', '3145', '3143', '3122', '3081', '3034', '3027', '3026', '3021', '2925', '2920', '2900', '2899', '2876', '2873', '2828', '2806', '2720', '2719', '2678', '2657', '2598', '2596', '2582', '2519', '2403', '2363', '2338', '2331', '2322', '2179', '2130', '2119', '2115', '2094', '2092', '2062', '1993', '1989', '1981', '1978', '1970', '1960', '1919', '1862', '1852', '1837', '1834', '1796', '1688', '1663', '1639', '1620', '1590', '1565', '1551', '1531', '1479', '1437', '1435', '1428', '1405', '1377', '1374', '1365', '1355', '1277', '1270', '1210', '1194', '1181', '1148', '1095', '970', '916', '907', '902', '892', '851', '844', '818', '814', '798', '783', '752', '719', '666', '662', '641', '623', '615', '599', '578', '540', '511', '509', '498', '486', '482', '480', '422', '415', '406', '384', '327', '157', '8', 'Unnamed: 0')",147,15.323866499999895,2095.21875,0.826722899953521,0.8564240506329114,0.9145681408716542,"[[205  33]
 [ 27 132]]"
669,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4267', '4251', '4223', '4195', '4147', '4141', '4029', '3902', '3897', '3890', '3884', '3848', '3847', '3846', '3835', '3829', '3721', '3720', '3719', '3695', '3680', '3653', '3530', '3519', '3451', '3430', '3417', '3411', '3339', '3337', '3320', '3279', '3258', '3211', '3145', '3143', '3125', '3081', '3043', '3034', '3027', '2969', '2925', '2876', '2873', '2828', '2806', '2803', '2765', '2720', '2719', '2678', '2657', '2596', '2585', '2582', '2429', '2403', '2338', '2331', '2322', '2182', '2155', '2153', '2119', '2115', '2094', '2093', '2092', '2045', '1989', '1981', '1978', '1960', '1919', '1852', '1837', '1834', '1804', '1796', '1782', '1688', '1671', '1663', '1620', '1590', '1565', '1551', '1540', '1531', '1482', '1479', '1437', '1435', '1428', '1405', '1377', '1374', '1365', '1355', '1277', '1210', '1194', '1181', '1150', '1095', '915', '907', '851', '844', '818', '814', '813', '808', '798', '783', '752', '719', '641', '623', '615', '599', '509', '498', '486', '482', '480', '415', '406', '368', '8', 'Unnamed: 0')",134,14.773403999999573,2202.9296875,0.8266098071386278,0.8639240506329114,0.9103671124313657,"[[204  34]
 [ 24 135]]"
589,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4267', '4251', '4223', '4195', '4147', '4141', '4029', '3902', '3897', '3890', '3884', '3848', '3847', '3846', '3835', '3829', '3793', '3781', '3721', '3720', '3719', '3695', '3680', '3653', '3530', '3519', '3451', '3430', '3417', '3339', '3337', '3320', '3279', '3274', '3258', '3211', '3145', '3143', '3081', '3043', '3034', '3027', '3026', '3021', '2925', '2876', '2873', '2828', '2806', '2765', '2720', '2719', '2678', '2657', '2596', '2585', '2582', '2403', '2338', '2331', '2322', '2155', '2119', '2115', '2094', '2093', '2092', '2045', '1993', '1989', '1981', '1978', '1960', '1919', '1852', '1837', '1834', '1804', '1796', '1782', '1688', '1671', '1663', '1620', '1590', '1565', '1551', '1531', '1479', '1437', '1435', '1405', '1377', '1374', '1365', '1355', '1277', '1210', '1194', '1181', '1150', '1148', '1095', '915', '907', '892', '851', '844', '818', '814', '813', '808', '798', '783', '752', '719', '666', '641', '623', '615', '599', '511', '509', '498', '486', '482', '480', '422', '415', '406', '368', '157', '8', 'Unnamed: 0')",136,14.074928199999704,2216.56640625,0.8261982103917587,0.8615506329113923,0.9115961378975064,"[[212  26]
 [ 32 127]]"
534,"StackingClassifier(estimators=[('RandomForestClassifier(n_jobs=-1)',
                                RandomForestClassifier(n_jobs=-1)),
                               ('AdaBoostClassifier()', AdaBoostClassifier()),
                               ('DecisionTreeClassifier()',
                                DecisionTreeClassifier())],
                   n_jobs=-1)","('4299', '4275', '4267', '4251', '4223', '4195', '4147', '4141', '4029', '3902', '3897', '3896', '3890', '3884', '3847', '3846', '3835', '3829', '3793', '3781', '3780', '3721', '3720', '3719', '3695', '3680', '3653', '3519', '3451', '3430', '3339', '3337', '3320', '3279', '3274', '3265', '3241', '3211', '3145', '3143', '3122', '3081', '3043', '3034', '3027', '3026', '3021', '2925', '2920', '2899', '2876', '2873', '2828', '2806', '2787', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2582', '2403', '2338', '2331', '2322', '2179', '2155', '2119', '2115', '2093', '2092', '2045', '1993', '1989', '1981', '1978', '1970', '1960', '1919', '1852', '1837', '1834', '1796', '1688', '1663', '1639', '1620', '1590', '1565', '1551', '1531', '1479', '1437', '1435', '1428', '1405', '1377', '1374', '1365', '1355', '1277', '1270', '1210', '1194', '1181', '1148', '1095', '998', '915', '907', '892', '851', '844', '818', '814', '808', '798', '783', '752', '719', '666', '641', '623', '615', '599', '511', '509', '498', '486', '482', '480', '422', '415', '406', '368', '157', '8', 'Unnamed: 0')",140,14.025983700000324,2195.2109375,0.8261590189164343,0.8563607594936709,0.9104731468771448,"[[204  34]
 [ 25 134]]"
