train_order,algorithm,features,n_features,train_time,mem_max,roc_auc,f1,accuracy,confusion_matrix
28,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4275', '4274', '4253', '4251', '4247', '4196', '4180', '4169', '4163', '4155', '4135', '4029', '4015', '3968', '3930', '3897', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3793', '3781', '3780', '3774', '3720', '3674', '3653', '3616', '3611', '3574', '3530', '3519', '3451', '3430', '3414', '3411', '3337', '3323', '3320', '3279', '3267', '3265', '3257', '3255', '3214', '3211', '3158', '3145', '3143', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3034', '3027', '3026', '3021', '2972', '2925', '2900', '2876', '2873', '2828', '2806', '2765', '2737', '2719', '2678', '2657', '2596', '2519', '2363', '2338', '2332', '2331', '2325', '2322', '2182', '2179', '2153', '2130', '2119', '2115', '2106', '2094', '2092', '2080', '2060', '1989', '1978', '1975', '1970', '1919', '1862', '1853', '1852', '1834', '1805', '1782', '1738', '1667', '1653', '1639', '1620', '1590', '1565', '1551', '1537', '1491', '1482', '1479', '1466', '1449', '1437', '1435', '1384', '1374', '1365', '1355', '1244', '1210', '1200', '1194', '1178', '1150', '1148', '1095', '1078', '1025', '1012', '998', '970', '965', '916', '915', '902', '851', '850', '844', '808', '798', '791', '719', '701', '698', '662', '635', '623', '615', '599', '578', '551', '543', '540', '511', '498', '480', '422', '419', '412', '406', '404', '384', '368', '363', '327', '24', '8', 'Unnamed: 0')",176,386.38106569999945,2458.15625,0.9357856350087205,0.7972972972972971,0.8488664987405542,"[[219  19]
 [ 41 118]]"
42,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4275', '4274', '4253', '4251', '4247', '4196', '4180', '4169', '4163', '4155', '4135', '4029', '4015', '3968', '3930', '3897', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3793', '3781', '3780', '3774', '3720', '3674', '3653', '3616', '3611', '3574', '3530', '3519', '3451', '3430', '3414', '3411', '3337', '3323', '3320', '3279', '3267', '3265', '3257', '3255', '3214', '3211', '3158', '3145', '3143', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2876', '2873', '2849', '2828', '2806', '2765', '2737', '2720', '2719', '2708', '2678', '2657', '2598', '2596', '2519', '2500', '2363', '2338', '2332', '2331', '2325', '2322', '2182', '2179', '2153', '2130', '2119', '2115', '2106', '2094', '2092', '2080', '2060', '1989', '1978', '1975', '1970', '1919', '1862', '1853', '1852', '1834', '1805', '1782', '1738', '1667', '1653', '1639', '1620', '1590', '1565', '1551', '1537', '1491', '1482', '1479', '1466', '1449', '1437', '1435', '1384', '1374', '1365', '1355', '1244', '1210', '1200', '1194', '1178', '1150', '1148', '1095', '1078', '1025', '1012', '998', '970', '965', '916', '915', '902', '851', '850', '844', '808', '798', '791', '719', '701', '698', '662', '635', '623', '615', '599', '578', '551', '543', '540', '511', '498', '480', '422', '419', '412', '406', '404', '384', '368', '363', '327', '24', '8', 'Unnamed: 0')",184,292.8143587000013,2503.48828125,0.9329845145605412,0.7905405405405406,0.8438287153652393,"[[218  20]
 [ 42 117]]"
13,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4284', '4275', '4274', '4253', '4251', '4247', '4196', '4195', '4180', '4169', '4163', '4155', '4135', '4029', '4015', '3968', '3930', '3897', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3793', '3781', '3780', '3774', '3720', '3674', '3653', '3616', '3611', '3574', '3530', '3519', '3451', '3430', '3414', '3411', '3337', '3323', '3320', '3279', '3267', '3265', '3257', '3255', '3214', '3211', '3158', '3145', '3143', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2876', '2873', '2849', '2828', '2806', '2765', '2737', '2720', '2719', '2708', '2678', '2657', '2598', '2596', '2519', '2500', '2363', '2338', '2332', '2331', '2325', '2322', '2182', '2179', '2153', '2130', '2119', '2115', '2106', '2094', '2092', '2080', '2060', '1989', '1978', '1975', '1970', '1919', '1862', '1853', '1852', '1834', '1805', '1796', '1782', '1738', '1688', '1667', '1653', '1639', '1620', '1590', '1565', '1551', '1537', '1491', '1482', '1479', '1466', '1449', '1437', '1435', '1428', '1384', '1374', '1365', '1355', '1283', '1244', '1232', '1210', '1200', '1194', '1178', '1150', '1148', '1095', '1078', '1025', '1012', '998', '970', '965', '956', '946', '916', '915', '902', '871', '851', '850', '844', '808', '798', '791', '719', '701', '698', '666', '662', '635', '623', '615', '599', '578', '551', '543', '540', '511', '498', '480', '422', '419', '412', '406', '404', '384', '368', '363', '327', '24', '8', 'Unnamed: 0')",195,760.8430635,2393.421875,0.9299984144601237,0.7986577181208053,0.8488664987405542,"[[218  20]
 [ 40 119]]"
41,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4284', '4275', '4274', '4253', '4251', '4247', '4196', '4195', '4180', '4169', '4163', '4155', '4135', '4029', '4015', '3968', '3930', '3897', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3793', '3781', '3780', '3774', '3720', '3674', '3653', '3616', '3611', '3574', '3530', '3519', '3451', '3430', '3414', '3411', '3337', '3323', '3320', '3279', '3267', '3265', '3257', '3255', '3214', '3211', '3158', '3145', '3143', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3034', '3027', '3026', '3021', '2972', '2925', '2900', '2876', '2873', '2828', '2806', '2765', '2737', '2719', '2678', '2657', '2596', '2519', '2363', '2338', '2332', '2331', '2325', '2322', '2182', '2179', '2153', '2130', '2119', '2115', '2106', '2094', '2092', '2080', '2060', '1989', '1978', '1975', '1970', '1919', '1862', '1853', '1852', '1834', '1805', '1796', '1782', '1738', '1688', '1667', '1653', '1639', '1620', '1590', '1565', '1551', '1537', '1491', '1482', '1479', '1466', '1449', '1437', '1435', '1428', '1384', '1374', '1365', '1355', '1283', '1244', '1232', '1210', '1200', '1194', '1178', '1150', '1148', '1095', '1078', '1025', '1012', '998', '970', '965', '956', '946', '916', '915', '902', '871', '851', '850', '844', '808', '798', '791', '719', '701', '698', '666', '662', '635', '623', '615', '599', '578', '551', '543', '540', '511', '498', '480', '422', '419', '412', '406', '404', '384', '368', '363', '327', '24', '8', 'Unnamed: 0')",187,296.7486962999974,2495.9375,0.9291263675281434,0.8013468013468014,0.8513853904282116,"[[219  19]
 [ 40 119]]"
35,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4275', '4274', '4253', '4251', '4247', '4196', '4180', '4169', '4163', '4155', '4135', '4029', '4015', '3930', '3897', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3793', '3781', '3774', '3720', '3653', '3616', '3611', '3574', '3530', '3519', '3451', '3430', '3414', '3411', '3337', '3323', '3320', '3279', '3265', '3257', '3255', '3214', '3211', '3158', '3145', '3143', '3125', '3122', '3107', '3066', '3058', '3045', '3040', '3034', '3027', '3026', '3025', '3021', '2925', '2920', '2900', '2876', '2873', '2849', '2828', '2806', '2765', '2737', '2719', '2708', '2678', '2657', '2598', '2596', '2519', '2500', '2363', '2332', '2325', '2322', '2179', '2153', '2130', '2119', '2115', '2106', '2094', '2092', '2080', '2060', '1989', '1978', '1975', '1919', '1862', '1853', '1852', '1834', '1805', '1796', '1782', '1738', '1688', '1667', '1653', '1639', '1620', '1590', '1565', '1551', '1491', '1482', '1466', '1449', '1437', '1435', '1428', '1384', '1374', '1365', '1355', '1283', '1244', '1232', '1210', '1200', '1194', '1178', '1148', '1095', '1078', '1025', '1012', '998', '970', '965', '956', '946', '916', '915', '871', '851', '850', '844', '808', '798', '791', '719', '701', '698', '666', '662', '635', '615', '599', '578', '551', '543', '540', '511', '498', '480', '422', '419', '412', '406', '404', '384', '368', '363', '327', '24', '8', 'Unnamed: 0')",177,284.5333162000006,2470.1796875,0.9288885365466942,0.7959183673469387,0.8488664987405542,"[[220  18]
 [ 42 117]]"
26,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4284', '4275', '4274', '4253', '4251', '4247', '4196', '4180', '4163', '4155', '4135', '4029', '4015', '3930', '3897', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3781', '3780', '3774', '3720', '3674', '3653', '3611', '3574', '3530', '3519', '3451', '3430', '3414', '3411', '3337', '3323', '3320', '3279', '3267', '3265', '3257', '3255', '3214', '3211', '3145', '3143', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3034', '3027', '3026', '3025', '2925', '2920', '2900', '2876', '2873', '2849', '2828', '2806', '2765', '2737', '2720', '2719', '2708', '2678', '2657', '2598', '2596', '2519', '2500', '2363', '2338', '2332', '2331', '2322', '2182', '2179', '2153', '2130', '2115', '2106', '2094', '2092', '2080', '2060', '1989', '1978', '1975', '1970', '1919', '1862', '1853', '1852', '1805', '1796', '1782', '1738', '1688', '1667', '1653', '1639', '1620', '1590', '1565', '1551', '1537', '1491', '1482', '1479', '1466', '1449', '1437', '1435', '1428', '1374', '1365', '1355', '1283', '1244', '1232', '1210', '1200', '1194', '1178', '1150', '1095', '1078', '1025', '1012', '998', '970', '965', '956', '946', '916', '915', '851', '850', '844', '808', '798', '791', '719', '701', '698', '666', '635', '623', '615', '599', '578', '551', '543', '540', '511', '498', '480', '422', '419', '412', '406', '404', '384', '368', '327', '24', '8', 'Unnamed: 0')",176,433.9162261999991,2409.015625,0.926866973204376,0.8148148148148149,0.8614609571788413,"[[221  17]
 [ 38 121]]"
40,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4284', '4275', '4274', '4253', '4251', '4247', '4196', '4195', '4180', '4169', '4163', '4155', '4029', '4015', '3968', '3930', '3897', '3890', '3848', '3847', '3846', '3845', '3835', '3793', '3781', '3780', '3774', '3720', '3674', '3653', '3616', '3611', '3574', '3530', '3519', '3451', '3414', '3411', '3337', '3323', '3320', '3267', '3265', '3257', '3255', '3214', '3211', '3158', '3145', '3143', '3125', '3122', '3107', '3081', '3058', '3045', '3034', '3027', '3026', '3021', '2972', '2925', '2876', '2873', '2828', '2765', '2737', '2719', '2678', '2657', '2596', '2519', '2500', '2338', '2332', '2331', '2325', '2322', '2182', '2179', '2153', '2130', '2119', '2115', '2106', '2094', '2092', '2080', '2060', '1989', '1978', '1975', '1970', '1919', '1862', '1852', '1834', '1805', '1738', '1667', '1653', '1639', '1620', '1590', '1565', '1551', '1537', '1491', '1482', '1479', '1449', '1437', '1435', '1384', '1374', '1365', '1355', '1244', '1210', '1200', '1194', '1178', '1150', '1148', '1095', '1025', '1012', '998', '970', '965', '956', '916', '915', '902', '851', '850', '844', '808', '798', '791', '719', '701', '698', '666', '662', '635', '623', '615', '599', '578', '551', '543', '540', '511', '498', '480', '419', '412', '406', '404', '384', '368', '363', '327', '24', '8', 'Unnamed: 0')",167,267.9798947999989,2504.68359375,0.9266423550552297,0.7905405405405406,0.8438287153652393,"[[218  20]
 [ 42 117]]"
33,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4284', '4275', '4274', '4253', '4251', '4247', '4196', '4195', '4180', '4169', '4163', '4155', '4135', '4029', '4015', '3968', '3930', '3897', '3892', '3884', '3847', '3846', '3845', '3835', '3793', '3781', '3780', '3774', '3720', '3674', '3653', '3616', '3574', '3530', '3519', '3451', '3430', '3414', '3411', '3337', '3323', '3320', '3279', '3265', '3257', '3214', '3211', '3158', '3145', '3143', '3125', '3122', '3081', '3066', '3058', '3045', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2873', '2849', '2828', '2806', '2765', '2737', '2720', '2719', '2708', '2678', '2657', '2598', '2596', '2519', '2500', '2363', '2332', '2331', '2322', '2182', '2153', '2130', '2115', '2106', '2094', '2092', '2080', '2060', '1989', '1978', '1975', '1970', '1919', '1862', '1853', '1852', '1834', '1805', '1796', '1782', '1738', '1688', '1667', '1653', '1639', '1620', '1551', '1491', '1482', '1479', '1466', '1449', '1437', '1435', '1428', '1384', '1374', '1365', '1355', '1283', '1244', '1232', '1210', '1200', '1194', '1178', '1150', '1148', '1078', '1025', '1012', '998', '965', '946', '916', '915', '902', '871', '851', '850', '844', '808', '798', '791', '719', '701', '698', '666', '635', '623', '615', '599', '551', '543', '540', '511', '498', '480', '422', '419', '412', '406', '404', '384', '327', '24', '8', 'Unnamed: 0')",174,538.5411811000013,2463.67578125,0.9264309497383859,0.8,0.8488664987405542,"[[217  21]
 [ 39 120]]"
21,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4284', '4275', '4274', '4253', '4251', '4247', '4196', '4195', '4180', '4163', '4155', '4029', '4015', '3968', '3930', '3897', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3793', '3781', '3780', '3774', '3674', '3653', '3616', '3611', '3574', '3530', '3519', '3451', '3430', '3414', '3411', '3337', '3323', '3320', '3279', '3267', '3265', '3257', '3255', '3214', '3211', '3158', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2873', '2849', '2828', '2806', '2765', '2737', '2720', '2719', '2708', '2678', '2657', '2598', '2596', '2519', '2500', '2363', '2338', '2332', '2331', '2325', '2322', '2179', '2153', '2130', '2119', '2115', '2106', '2094', '2080', '2060', '1989', '1975', '1919', '1862', '1853', '1852', '1834', '1805', '1782', '1738', '1688', '1667', '1653', '1639', '1620', '1590', '1565', '1551', '1537', '1491', '1482', '1479', '1466', '1449', '1437', '1435', '1428', '1384', '1374', '1365', '1355', '1283', '1244', '1232', '1210', '1200', '1194', '1178', '1150', '1148', '1095', '1078', '1025', '1012', '998', '970', '956', '946', '916', '915', '902', '871', '851', '850', '844', '808', '798', '719', '701', '698', '662', '623', '615', '599', '578', '551', '543', '540', '511', '498', '480', '422', '419', '412', '406', '404', '363', '327', '24', '8', 'Unnamed: 0')",178,447.6965290999997,2410.296875,0.9242904709053433,0.7766323024054983,0.836272040302267,"[[219  19]
 [ 46 113]]"
22,"VotingClassifier(estimators=[('e1',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=...
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e2', HistGradientBoostingClassifier()),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4284', '4275', '4274', '4253', '4251', '4247', '4196', '4195', '4180', '4169', '4163', '4155', '4029', '4015', '3968', '3930', '3897', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3793', '3781', '3780', '3774', '3720', '3674', '3653', '3616', '3611', '3530', '3519', '3451', '3430', '3414', '3411', '3337', '3323', '3320', '3279', '3265', '3257', '3255', '3214', '3211', '3158', '3145', '3143', '3125', '3122', '3107', '3081', '3066', '3045', '3040', '3034', '3027', '3021', '2972', '2925', '2920', '2900', '2873', '2849', '2828', '2806', '2765', '2737', '2720', '2719', '2708', '2678', '2598', '2596', '2500', '2363', '2338', '2332', '2331', '2325', '2322', '2182', '2179', '2153', '2119', '2115', '2106', '2094', '2092', '2080', '2060', '1989', '1978', '1975', '1970', '1919', '1862', '1853', '1852', '1834', '1805', '1796', '1782', '1738', '1688', '1667', '1639', '1620', '1565', '1537', '1491', '1482', '1479', '1437', '1435', '1428', '1384', '1374', '1365', '1355', '1283', '1244', '1232', '1210', '1200', '1194', '1178', '1150', '1148', '1078', '1025', '1012', '998', '970', '965', '956', '946', '916', '915', '902', '871', '851', '850', '844', '808', '798', '791', '719', '701', '698', '666', '662', '635', '623', '615', '599', '551', '540', '511', '498', '480', '422', '419', '412', '406', '404', '368', '363', '327', '24', '8', 'Unnamed: 0')",176,499.85643979999986,2392.859375,0.9236826806194176,0.785234899328859,0.8387909319899244,"[[216  22]
 [ 42 117]]"
