algorithm,features,n_features,train_time,mem_max,roc_auc,f1,accuracy,confusion_matrix
"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', SVC(probability=True))],
                 n_jobs=-1)","('4275', '4274', '4255', '4253', '4251', '4247', '4223', '4218', '4195', '4180', '4169', '4163', '4135', '4016', '3968', '3902', '3897', '3892', '3890', '3884', '3846', '3845', '3835', '3806', '3793', '3781', '3780', '3737', '3721', '3720', '3719', '3695', '3680', '3653', '3640', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3337', '3320', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2969', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2787', '2764', '2720', '2719', '2657', '2598', '2596', '2519', '2429', '2403', '2363', '2332', '2331', '2325', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2106', '2096', '2093', '2092', '2060', '2051', '2045', '1993', '1981', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1377', '1365', '1355', '1279', '1270', '1244', '1232', '1210', '1194', '1178', '1150', '1095', '1025', '998', '970', '916', '915', '907', '902', '851', '844', '818', '814', '808', '798', '791', '719', '705', '701', '699', '666', '644', '635', '623', '615', '599', '565', '551', '543', '540', '511', '433', '422', '419', '412', '384', '372', '363', '157', '29', '24', '8', 'Unnamed: 0')",180,114.4854236000001,2396.16796875,0.9539136409280693,0.8488745980707396,0.8816120906801007,"[[218  20]
 [ 27 132]]"
"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', SVC(probability=True))],
                 n_jobs=-1)","('4275', '4274', '4255', '4253', '4251', '4247', '4223', '4218', '4195', '4180', '4169', '4163', '4135', '4029', '4016', '3968', '3964', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3806', '3793', '3781', '3780', '3737', '3721', '3720', '3719', '3695', '3680', '3653', '3640', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3337', '3320', '3267', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2969', '2925', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2787', '2764', '2720', '2719', '2657', '2598', '2596', '2519', '2429', '2403', '2363', '2332', '2331', '2325', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2106', '2096', '2094', '2093', '2092', '2080', '2060', '2051', '2045', '1993', '1981', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1537', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1377', '1365', '1355', '1279', '1270', '1244', '1232', '1210', '1194', '1178', '1150', '1148', '1095', '1025', '998', '970', '916', '915', '907', '902', '851', '844', '818', '814', '808', '798', '791', '719', '705', '701', '699', '698', '675', '666', '662', '644', '635', '623', '615', '599', '578', '565', '551', '543', '540', '511', '498', '433', '422', '419', '412', '406', '384', '372', '363', '157', '29', '24', '8', 'Unnamed: 0')",195,124.97194959999979,2364.5625,0.9537022356112256,0.8525641025641026,0.8841309823677582,"[[218  20]
 [ 26 133]]"
"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', SVC(probability=True))],
                 n_jobs=-1)","('4275', '4274', '4255', '4253', '4251', '4247', '4223', '4218', '4195', '4180', '4169', '4163', '4135', '4029', '4016', '3968', '3964', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3806', '3793', '3781', '3780', '3737', '3721', '3720', '3719', '3695', '3680', '3653', '3640', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3320', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3043', '3042', '3034', '3026', '3025', '3021', '2972', '2969', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2764', '2720', '2719', '2657', '2598', '2596', '2519', '2429', '2403', '2363', '2332', '2331', '2325', '2182', '2155', '2153', '2130', '2119', '2115', '2106', '2096', '2093', '2092', '2060', '2051', '2045', '1993', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1365', '1355', '1279', '1270', '1232', '1210', '1194', '1178', '1150', '1148', '1095', '1025', '998', '970', '916', '915', '907', '902', '851', '844', '818', '814', '808', '798', '791', '719', '705', '701', '699', '698', '675', '666', '662', '644', '635', '623', '615', '599', '578', '565', '551', '543', '540', '511', '498', '433', '422', '419', '412', '406', '384', '372', '363', '157', '29', '24', '8', 'Unnamed: 0')",183,100.7526398000009,2673.27734375,0.9535701072881984,0.8636363636363636,0.8942065491183879,"[[222  16]
 [ 26 133]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', SVC(probability=True))],
                   n_jobs=-1)","('4275', '4274', '4255', '4253', '4223', '4218', '4195', '4180', '4169', '4163', '4135', '4029', '4016', '3968', '3964', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3806', '3793', '3781', '3780', '3737', '3721', '3720', '3719', '3695', '3680', '3653', '3640', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3337', '3320', '3267', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2969', '2925', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2787', '2764', '2720', '2719', '2657', '2596', '2429', '2363', '2332', '2331', '2325', '2182', '2179', '2153', '2106', '2096', '2094', '2093', '2092', '2080', '2060', '2051', '1993', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1377', '1365', '1355', '1279', '1270', '1244', '1232', '1210', '1194', '1178', '1150', '1095', '1025', '998', '970', '916', '915', '907', '902', '851', '844', '818', '814', '808', '798', '791', '719', '705', '701', '699', '666', '644', '635', '623', '615', '599', '565', '551', '543', '540', '511', '433', '422', '419', '384', '363', '157', '29', '8', 'Unnamed: 0')",172,525.7962304000011,2659.79296875,0.9528830400084563,0.8471337579617835,0.8790931989924433,"[[216  22]
 [ 26 133]]"
"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', SVC(probability=True))],
                 n_jobs=-1)","('4274', '4255', '4253', '4251', '4247', '4223', '4218', '4195', '4169', '4135', '4029', '4016', '3968', '3964', '3902', '3897', '3892', '3890', '3884', '3847', '3845', '3835', '3806', '3793', '3781', '3780', '3721', '3719', '3695', '3680', '3653', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3337', '3320', '3267', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2969', '2925', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2787', '2764', '2720', '2719', '2657', '2598', '2596', '2519', '2429', '2403', '2363', '2332', '2331', '2325', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2106', '2096', '2094', '2093', '2092', '2080', '2060', '2051', '2045', '1993', '1981', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1537', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1377', '1365', '1355', '1279', '1270', '1244', '1232', '1210', '1194', '1178', '1150', '1148', '1095', '1025', '998', '970', '916', '915', '907', '902', '851', '844', '818', '814', '808', '798', '791', '719', '701', '699', '666', '644', '635', '623', '615', '599', '578', '565', '551', '543', '540', '511', '433', '422', '419', '412', '384', '372', '363', '24', '8', 'Unnamed: 0')",180,94.17642800000067,2682.11328125,0.9526187833624016,0.8580645161290322,0.889168765743073,"[[220  18]
 [ 26 133]]"
"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', SVC(probability=True))],
                 n_jobs=-1)","('4275', '4274', '4255', '4253', '4251', '4247', '4223', '4218', '4195', '4180', '4169', '4163', '4135', '4029', '4016', '3968', '3964', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3806', '3793', '3781', '3780', '3737', '3721', '3720', '3719', '3695', '3680', '3653', '3640', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3337', '3320', '3267', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2969', '2925', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2787', '2764', '2720', '2719', '2657', '2598', '2596', '2519', '2429', '2403', '2363', '2332', '2331', '2325', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2106', '2096', '2094', '2093', '2092', '2080', '2060', '2051', '2045', '1993', '1981', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1537', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1377', '1365', '1355', '1279', '1270', '1244', '1232', '1210', '1194', '1178', '1150', '1148', '1095', '1025', '1012', '998', '970', '946', '916', '915', '907', '902', '851', '844', '818', '814', '808', '798', '791', '719', '705', '701', '699', '698', '675', '666', '662', '644', '635', '623', '615', '599', '578', '565', '551', '543', '540', '511', '498', '433', '422', '419', '412', '406', '384', '372', '363', '157', '29', '24', '8', 'Unnamed: 0')",197,136.91118240000014,2251.203125,0.9522223983933196,0.8478964401294499,0.8816120906801007,"[[219  19]
 [ 28 131]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', SVC(probability=True))],
                   n_jobs=-1)","('4275', '4274', '4255', '4253', '4223', '4218', '4195', '4180', '4169', '4163', '4135', '4029', '4016', '3964', '3902', '3897', '3892', '3890', '3884', '3847', '3845', '3835', '3793', '3781', '3780', '3737', '3721', '3720', '3719', '3695', '3680', '3653', '3640', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3337', '3320', '3267', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2969', '2925', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2787', '2764', '2720', '2719', '2657', '2596', '2429', '2363', '2332', '2331', '2325', '2182', '2179', '2153', '2106', '2096', '2094', '2093', '2092', '2080', '2060', '2051', '1993', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1377', '1365', '1355', '1279', '1270', '1244', '1232', '1210', '1194', '1178', '1150', '1095', '1025', '998', '970', '916', '915', '907', '902', '851', '844', '818', '814', '808', '798', '791', '719', '705', '701', '699', '666', '644', '635', '623', '615', '599', '565', '551', '543', '540', '511', '433', '422', '419', '384', '363', '157', '29', '8', 'Unnamed: 0')",169,422.6574294000002,2670.1328125,0.9518788647534485,0.8507936507936509,0.8816120906801007,"[[216  22]
 [ 25 134]]"
"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', SVC(probability=True))],
                 n_jobs=-1)","('4275', '4274', '4255', '4253', '4251', '4247', '4223', '4218', '4195', '4180', '4169', '4163', '4135', '4016', '3968', '3902', '3897', '3892', '3890', '3884', '3846', '3845', '3835', '3806', '3793', '3781', '3780', '3737', '3721', '3720', '3719', '3695', '3680', '3653', '3640', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3337', '3320', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2969', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2787', '2764', '2720', '2719', '2657', '2598', '2596', '2519', '2429', '2403', '2363', '2332', '2331', '2325', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2106', '2096', '2093', '2092', '2060', '2051', '2045', '1993', '1981', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1377', '1365', '1355', '1279', '1270', '1232', '1210', '1194', '1178', '1150', '1095', '1012', '998', '970', '916', '907', '902', '851', '818', '808', '791', '719', '705', '701', '699', '666', '644', '635', '623', '615', '599', '565', '551', '543', '540', '511', '433', '422', '419', '412', '384', '372', '363', '157', '29', '24', '8', 'Unnamed: 0')",175,111.03722609999932,2675.5,0.9516410337719994,0.8506493506493507,0.8841309823677582,"[[220  18]
 [ 28 131]]"
"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', SVC(probability=True))],
                 n_jobs=-1)","('4274', '4255', '4253', '4251', '4247', '4223', '4218', '4195', '4169', '4135', '4029', '4016', '3968', '3964', '3902', '3897', '3892', '3890', '3884', '3847', '3845', '3835', '3806', '3793', '3781', '3780', '3721', '3719', '3695', '3680', '3653', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3320', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3043', '3042', '3034', '3026', '3025', '3021', '2972', '2969', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2764', '2720', '2719', '2657', '2598', '2596', '2519', '2429', '2403', '2363', '2332', '2331', '2325', '2182', '2155', '2153', '2130', '2119', '2115', '2106', '2096', '2093', '2092', '2060', '2051', '2045', '1993', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1365', '1355', '1279', '1270', '1232', '1210', '1194', '1178', '1150', '1148', '1095', '1025', '998', '970', '916', '915', '907', '902', '851', '844', '818', '814', '808', '798', '791', '719', '701', '699', '666', '644', '635', '623', '615', '599', '578', '565', '551', '543', '540', '511', '433', '422', '419', '412', '384', '372', '363', '24', '8', 'Unnamed: 0')",168,126.49410830000033,2575.79296875,0.9515353311135775,0.8478964401294499,0.8816120906801007,"[[219  19]
 [ 28 131]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', SVC(probability=True))],
                   n_jobs=-1)","('4275', '4274', '4255', '4253', '4251', '4247', '4223', '4218', '4195', '4180', '4169', '4163', '4135', '4029', '4016', '3968', '3964', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3806', '3793', '3781', '3780', '3737', '3721', '3720', '3719', '3695', '3680', '3653', '3640', '3611', '3559', '3530', '3519', '3430', '3417', '3411', '3337', '3320', '3267', '3265', '3258', '3214', '3211', '3145', '3143', '3125', '3124', '3122', '3107', '3081', '3066', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2969', '2925', '2920', '2900', '2876', '2873', '2872', '2849', '2828', '2787', '2764', '2720', '2719', '2657', '2598', '2596', '2519', '2429', '2403', '2363', '2332', '2331', '2325', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2106', '2096', '2094', '2093', '2092', '2080', '2060', '2051', '2045', '1993', '1981', '1970', '1960', '1919', '1915', '1862', '1852', '1834', '1796', '1782', '1736', '1688', '1667', '1628', '1620', '1601', '1590', '1551', '1537', '1482', '1479', '1466', '1437', '1435', '1418', '1405', '1398', '1377', '1365', '1355', '1279', '1270', '1244', '1232', '1210', '1194', '1178', '1150', '1148', '1095', '1025', '1012', '998', '970', '946', '916', '915', '907', '902', '851', '844', '818', '814', '808', '798', '791', '719', '705', '701', '699', '698', '675', '666', '662', '644', '635', '623', '615', '599', '578', '565', '551', '543', '540', '511', '498', '433', '422', '419', '412', '406', '384', '372', '363', '157', '29', '24', '8', 'Unnamed: 0')",197,465.32361139999966,2319.9140625,0.9511653718091009,0.8454258675078865,0.8765743073047859,"[[214  24]
 [ 25 134]]"
