algorithm,features,n_features,train_time,mem_max,accuracy,roc_auc,f1,confusion_matrix
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', GradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learn...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4298', '4284', '4274', '4267', '4255', '4253', '4251', '4223', '4196', '4195', '4180', '4169', '4163', '4155', '4147', '4135', '4042', '4029', '4015', '3984', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3451', '3430', '3417', '3414', '3411', '3337', '3291', '3267', '3265', '3258', '3255', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2519', '2500', '2403', '2363', '2332', '2331', '2325', '2322', '2270', '2268', '2182', '2179', '2155', '2153', '2130', '2120', '2119', '2115', '2113', '2094', '2093', '2092', '2060', '2051', '1993', '1989', '1981', '1978', '1975', '1970', '1962', '1960', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1565', '1551', '1545', '1537', '1531', '1482', '1466', '1449', '1437', '1435', '1365', '1355', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '946', '916', '907', '902', '851', '844', '818', '813', '808', '798', '791', '735', '701', '666', '662', '643', '635', '623', '615', '599', '578', '570', '551', '543', '540', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '406', '386', '384', '380', '368', '363', '157', '29', '24', '8', 'Unnamed: 0')",217,308.0567898999998,2790.78515625,0.871536523929471,0.9165741768405475,0.8271186440677967,"[[224  14]
 [ 37 122]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', GradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learn...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4298', '4284', '4274', '4267', '4255', '4253', '4223', '4196', '4195', '4180', '4155', '4147', '4135', '4042', '4029', '4015', '3984', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3451', '3430', '3417', '3414', '3411', '3337', '3291', '3267', '3265', '3258', '3255', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2500', '2403', '2363', '2332', '2331', '2325', '2322', '2182', '2179', '2155', '2130', '2120', '2119', '2115', '2113', '2093', '2060', '2051', '1993', '1989', '1981', '1978', '1975', '1970', '1962', '1960', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1688', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1565', '1551', '1545', '1537', '1531', '1486', '1482', '1466', '1449', '1437', '1435', '1365', '1355', '1291', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '946', '916', '915', '907', '902', '851', '844', '818', '813', '798', '791', '735', '701', '693', '666', '662', '643', '635', '623', '615', '578', '570', '551', '543', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '386', '384', '380', '368', '363', '157', '29', '24', 'Unnamed: 0')",208,322.0100430000002,2734.43359375,0.8690176322418136,0.9187939326674066,0.825503355704698,"[[222  16]
 [ 36 123]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', GradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learn...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4298', '4284', '4274', '4267', '4255', '4253', '4251', '4223', '4196', '4195', '4180', '4169', '4163', '4155', '4147', '4135', '4042', '4029', '4015', '3984', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3451', '3430', '3417', '3414', '3411', '3337', '3291', '3267', '3265', '3258', '3255', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2519', '2500', '2403', '2363', '2332', '2331', '2325', '2322', '2270', '2268', '2182', '2179', '2155', '2153', '2130', '2120', '2119', '2115', '2113', '2094', '2093', '2092', '2060', '2051', '1993', '1989', '1981', '1978', '1975', '1970', '1962', '1960', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1565', '1551', '1545', '1537', '1531', '1486', '1482', '1466', '1449', '1437', '1435', '1365', '1355', '1291', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '946', '916', '915', '907', '902', '851', '844', '818', '813', '798', '791', '735', '701', '693', '666', '662', '643', '635', '623', '615', '599', '578', '570', '551', '543', '540', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '406', '386', '384', '380', '368', '363', '157', '29', '24', '8', 'Unnamed: 0')",220,340.0748000000003,2552.0390625,0.8690176322418136,0.9247925585328471,0.8243243243243243,"[[223  15]
 [ 37 122]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', GradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learn...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4298', '4284', '4274', '4267', '4255', '4253', '4251', '4223', '4196', '4195', '4180', '4169', '4163', '4155', '4147', '4135', '4042', '4029', '4015', '3984', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3451', '3430', '3417', '3414', '3411', '3337', '3291', '3267', '3265', '3258', '3255', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2519', '2500', '2403', '2363', '2332', '2331', '2325', '2322', '2270', '2268', '2182', '2179', '2155', '2153', '2130', '2120', '2119', '2115', '2113', '2094', '2093', '2092', '2060', '2051', '1993', '1989', '1981', '1978', '1975', '1970', '1962', '1960', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1688', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1565', '1551', '1545', '1537', '1531', '1486', '1482', '1466', '1449', '1437', '1435', '1365', '1355', '1291', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '998', '970', '946', '916', '915', '907', '902', '851', '844', '818', '813', '808', '798', '791', '735', '701', '693', '666', '662', '643', '635', '623', '615', '599', '578', '570', '551', '543', '540', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '406', '386', '384', '380', '368', '363', '157', '29', '24', '8', 'Unnamed: 0')",224,375.7953009999999,2358.05078125,0.8690176322418136,0.9211722424818984,0.825503355704698,"[[222  16]
 [ 36 123]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', GradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learn...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4298', '4284', '4274', '4267', '4255', '4253', '4251', '4223', '4196', '4195', '4180', '4169', '4163', '4155', '4147', '4135', '4042', '4029', '4015', '3984', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3451', '3430', '3417', '3414', '3411', '3337', '3291', '3267', '3265', '3258', '3255', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2519', '2500', '2403', '2363', '2332', '2331', '2325', '2322', '2270', '2268', '2182', '2179', '2155', '2153', '2130', '2120', '2119', '2115', '2113', '2094', '2093', '2092', '2060', '2051', '1993', '1989', '1981', '1975', '1970', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1688', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1565', '1551', '1545', '1537', '1531', '1482', '1466', '1449', '1437', '1435', '1365', '1355', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '946', '916', '907', '902', '851', '844', '818', '813', '808', '798', '791', '735', '701', '666', '662', '643', '635', '623', '615', '599', '578', '570', '551', '543', '540', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '406', '386', '384', '380', '368', '363', '157', '29', '24', '8', 'Unnamed: 0')",215,341.41608950000045,2697.875,0.8690176322418136,0.9228106336874372,0.825503355704698,"[[222  16]
 [ 36 123]]"
RandomForestClassifier(n_jobs=-1),"('4298', '4284', '4274', '4267', '4255', '4253', '4251', '4223', '4196', '4195', '4180', '4169', '4163', '4155', '4147', '4135', '4042', '4029', '4015', '3984', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3451', '3430', '3417', '3414', '3411', '3337', '3291', '3267', '3265', '3258', '3255', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2519', '2500', '2403', '2363', '2332', '2331', '2325', '2322', '2270', '2268', '2182', '2179', '2155', '2153', '2130', '2120', '2119', '2115', '2113', '2094', '2093', '2092', '2060', '2051', '1993', '1989', '1981', '1978', '1975', '1970', '1962', '1960', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1688', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1565', '1551', '1545', '1537', '1531', '1486', '1482', '1466', '1449', '1437', '1435', '1365', '1355', '1291', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '998', '970', '946', '916', '915', '907', '902', '851', '844', '818', '813', '808', '798', '791', '735', '701', '693', '666', '662', '643', '635', '623', '615', '599', '578', '570', '551', '543', '540', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '406', '386', '384', '380', '368', '363', '157', '29', '24', '8', 'Unnamed: 0')",224,185.93272960000002,2077.96875,0.8664987405541562,0.9186485915120766,0.8178694158075601,"[[225  13]
 [ 40 119]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', GradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learn...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4298', '4284', '4274', '4267', '4255', '4253', '4223', '4196', '4195', '4169', '4163', '4155', '4147', '4135', '4042', '4029', '4015', '3984', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3451', '3430', '3417', '3414', '3411', '3337', '3291', '3267', '3265', '3258', '3255', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2519', '2500', '2403', '2363', '2332', '2331', '2325', '2322', '2270', '2268', '2182', '2179', '2155', '2153', '2130', '2120', '2119', '2115', '2113', '2094', '2093', '2092', '2060', '2051', '1993', '1989', '1981', '1975', '1970', '1962', '1960', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1551', '1531', '1466', '1437', '1365', '1355', '1291', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '998', '970', '946', '916', '915', '907', '902', '851', '844', '818', '813', '808', '798', '791', '735', '693', '666', '662', '635', '623', '615', '599', '578', '570', '551', '543', '540', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '406', '386', '380', '368', '363', '157', '29', '24', '8', 'Unnamed: 0')",210,306.9071115000006,2815.18359375,0.8664987405541562,0.9198377464193225,0.822742474916388,"[[221  17]
 [ 36 123]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', GradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learn...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4298', '4284', '4274', '4267', '4255', '4253', '4251', '4223', '4196', '4195', '4180', '4169', '4163', '4155', '4147', '4135', '4042', '4029', '4015', '3984', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3451', '3430', '3417', '3414', '3411', '3337', '3291', '3267', '3265', '3258', '3255', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2519', '2500', '2403', '2363', '2332', '2331', '2325', '2322', '2270', '2268', '2182', '2179', '2155', '2153', '2130', '2120', '2119', '2115', '2113', '2094', '2093', '2092', '2060', '2051', '1993', '1989', '1981', '1978', '1975', '1970', '1962', '1960', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1565', '1551', '1537', '1531', '1486', '1482', '1466', '1449', '1437', '1435', '1365', '1355', '1291', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '946', '916', '915', '907', '902', '851', '844', '818', '813', '798', '791', '735', '701', '693', '666', '662', '643', '635', '623', '615', '599', '578', '570', '551', '543', '540', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '406', '386', '384', '380', '368', '363', '157', '29', '24', '8', 'Unnamed: 0')",219,343.9179033999999,2598.9140625,0.8664987405541562,0.9205908778605781,0.822742474916388,"[[221  17]
 [ 36 123]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', GradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learn...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4298', '4284', '4274', '4267', '4255', '4253', '4251', '4223', '4196', '4195', '4180', '4169', '4163', '4155', '4147', '4135', '4042', '4029', '4015', '3984', '3902', '3897', '3892', '3890', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3451', '3430', '3417', '3414', '3411', '3337', '3291', '3267', '3265', '3258', '3255', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2519', '2500', '2403', '2332', '2331', '2322', '2270', '2268', '2182', '2179', '2155', '2120', '2119', '2115', '2113', '2093', '2092', '2060', '2051', '1993', '1989', '1981', '1975', '1970', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1688', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1565', '1551', '1545', '1537', '1531', '1486', '1482', '1466', '1449', '1437', '1435', '1365', '1355', '1291', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '998', '970', '946', '916', '915', '907', '902', '851', '844', '818', '813', '808', '798', '791', '735', '701', '693', '666', '662', '643', '635', '623', '615', '599', '578', '570', '551', '543', '540', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '406', '386', '384', '380', '368', '363', '157', '29', '24', '8', 'Unnamed: 0')",216,339.19917929999974,2532.203125,0.8664987405541562,0.921238306643412,0.822742474916388,"[[221  17]
 [ 36 123]]"
"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', GradientBoostingClassifier()),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learn...te=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4284', '4274', '4267', '4253', '4251', '4223', '4196', '4195', '4180', '4169', '4163', '4147', '4135', '4029', '3902', '3897', '3892', '3884', '3847', '3846', '3845', '3835', '3829', '3806', '3793', '3785', '3781', '3780', '3721', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3530', '3417', '3414', '3411', '3291', '3267', '3265', '3258', '3214', '3211', '3201', '3156', '3145', '3143', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3040', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2720', '2719', '2708', '2678', '2657', '2618', '2598', '2596', '2585', '2519', '2500', '2403', '2332', '2331', '2322', '2270', '2268', '2182', '2179', '2155', '2120', '2119', '2115', '2113', '2093', '2092', '2060', '2051', '1993', '1989', '1981', '1975', '1970', '1936', '1919', '1904', '1862', '1852', '1837', '1834', '1805', '1804', '1796', '1782', '1738', '1736', '1688', '1671', '1667', '1656', '1639', '1628', '1620', '1590', '1565', '1551', '1545', '1537', '1531', '1486', '1482', '1466', '1449', '1437', '1435', '1365', '1355', '1291', '1279', '1270', '1244', '1210', '1178', '1161', '1150', '1148', '1095', '1027', '1012', '946', '916', '915', '907', '902', '851', '844', '818', '813', '798', '791', '735', '701', '693', '666', '662', '643', '635', '623', '615', '599', '578', '570', '551', '543', '540', '522', '511', '498', '487', '486', '480', '432', '422', '419', '415', '412', '406', '386', '384', '380', '368', '363', '157', '29', '24', 'Unnamed: 0')",199,326.51764409999987,2497.421875,0.8639798488664987,0.9218593097616404,0.8211920529801325,"[[219  19]
 [ 35 124]]"
