algorithm,features,n_features,train_time,mem_max,f1,accuracy,roc_auc,confusion_matrix
"StackingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', RandomForestClassifier(n_jobs=-1))],
                   n_jobs=-1)","('4284', '4275', '4274', '4251', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4155', '4152', '4135', '4016', '4015', '3983', '3968', '3896', '3892', '3890', '3884', '3848', '3847', '3829', '3793', '3785', '3780', '3737', '3720', '3680', '3653', '3616', '3611', '3574', '3417', '3411', '3320', '3301', '3291', '3279', '3267', '3265', '3258', '3255', '3214', '3211', '3203', '3143', '3125', '3107', '3081', '3066', '3043', '3034', '3026', '3025', '3021', '2996', '2972', '2925', '2920', '2900', '2899', '2873', '2849', '2806', '2803', '2787', '2764', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2564', '2519', '2429', '2403', '2363', '2332', '2331', '2325', '2322', '2179', '2155', '2130', '2120', '2119', '2113', '2096', '2094', '2093', '2092', '2080', '2060', '1981', '1975', '1970', '1960', '1919', '1862', '1834', '1805', '1796', '1782', '1688', '1667', '1620', '1590', '1545', '1537', '1491', '1476', '1466', '1449', '1437', '1418', '1405', '1365', '1355', '1283', '1270', '1244', '1218', '1194', '1181', '1178', '1161', '1150', '1148', '1025', '1012', '998', '970', '965', '956', '915', '907', '902', '892', '851', '844', '818', '813', '808', '798', '743', '705', '701', '698', '666', '662', '641', '615', '599', '578', '565', '543', '540', '511', '498', '487', '486', '482', '480', '433', '432', '422', '412', '406', '384', '380', '372', '363', '29', '8', 'Unnamed: 0')",180,315.02972409999984,2545.9375,0.821656050955414,0.8589420654911839,0.9181993552137836,"[[212  26]
 [ 30 129]]"
"VotingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', RandomForestClassifier(n_jobs=-1))],
                 n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4155', '4152', '4135', '4029', '4016', '4015', '3983', '3968', '3964', '3897', '3896', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3829', '3793', '3785', '3780', '3737', '3721', '3720', '3680', '3653', '3616', '3611', '3574', '3519', '3417', '3411', '3337', '3320', '3301', '3291', '3279', '3267', '3265', '3258', '3255', '3214', '3211', '3203', '3143', '3125', '3107', '3081', '3066', '3058', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2996', '2972', '2969', '2925', '2920', '2900', '2899', '2873', '2849', '2828', '2806', '2803', '2787', '2764', '2720', '2719', '2711', '2678', '2657', '2598', '2596', '2585', '2564', '2519', '2500', '2429', '2403', '2363', '2332', '2331', '2325', '2322', '2182', '2179', '2155', '2130', '2120', '2119', '2115', '2113', '2096', '2094', '2093', '2092', '2080', '2060', '1993', '1981', '1975', '1970', '1960', '1919', '1862', '1852', '1834', '1805', '1796', '1782', '1688', '1667', '1620', '1590', '1551', '1545', '1537', '1491', '1482', '1476', '1466', '1449', '1437', '1435', '1418', '1405', '1365', '1355', '1283', '1270', '1244', '1218', '1194', '1181', '1178', '1161', '1150', '1148', '1095', '1025', '1012', '998', '970', '965', '956', '916', '915', '907', '902', '892', '851', '844', '818', '814', '813', '808', '798', '791', '743', '705', '701', '698', '666', '662', '641', '635', '623', '615', '599', '578', '565', '551', '543', '540', '511', '498', '487', '486', '482', '480', '433', '432', '422', '419', '415', '412', '406', '384', '380', '372', '363', '29', '8', 'Unnamed: 0')",213,60.092386900000065,2260.0390625,0.819047619047619,0.8564231738035264,0.9204191110406427,"[[211  27]
 [ 30 129]]"
"StackingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', RandomForestClassifier(n_jobs=-1))],
                   n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4155', '4152', '4135', '4029', '4015', '3983', '3968', '3964', '3897', '3896', '3892', '3890', '3884', '3848', '3847', '3845', '3835', '3793', '3785', '3780', '3737', '3720', '3680', '3653', '3616', '3611', '3574', '3519', '3417', '3411', '3320', '3301', '3291', '3279', '3267', '3265', '3258', '3255', '3214', '3211', '3143', '3125', '3107', '3081', '3066', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2969', '2925', '2920', '2900', '2899', '2873', '2849', '2806', '2803', '2787', '2764', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2564', '2519', '2429', '2403', '2332', '2331', '2325', '2322', '2179', '2155', '2130', '2120', '2119', '2113', '2096', '2094', '2093', '2092', '2080', '2060', '1981', '1975', '1970', '1960', '1919', '1862', '1834', '1805', '1796', '1782', '1688', '1667', '1620', '1590', '1545', '1537', '1491', '1476', '1466', '1449', '1437', '1418', '1405', '1365', '1355', '1283', '1270', '1244', '1218', '1194', '1178', '1161', '1150', '1148', '1025', '1012', '998', '970', '956', '915', '907', '902', '892', '851', '844', '818', '813', '808', '798', '743', '705', '701', '698', '666', '662', '641', '635', '615', '599', '578', '565', '543', '540', '511', '498', '487', '486', '482', '480', '432', '422', '419', '415', '412', '406', '384', '380', '363', '29', '8', 'Unnamed: 0')",184,287.44363630000043,2569.12890625,0.8181818181818182,0.8589420654911839,0.9087257544527245,"[[215  23]
 [ 33 126]]"
"StackingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', RandomForestClassifier(n_jobs=-1))],
                   n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4155', '4152', '4135', '4029', '4016', '4015', '3983', '3968', '3964', '3897', '3896', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3829', '3793', '3785', '3780', '3737', '3720', '3680', '3653', '3616', '3611', '3574', '3519', '3417', '3411', '3320', '3301', '3291', '3279', '3267', '3265', '3258', '3255', '3214', '3211', '3203', '3143', '3125', '3107', '3081', '3066', '3043', '3042', '3034', '3026', '3025', '3021', '2996', '2972', '2925', '2900', '2899', '2873', '2849', '2828', '2806', '2803', '2787', '2764', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2564', '2519', '2500', '2429', '2403', '2363', '2332', '2331', '2325', '2322', '2179', '2155', '2130', '2120', '2119', '2115', '2113', '2096', '2094', '2093', '2092', '2080', '2060', '1993', '1981', '1975', '1970', '1960', '1919', '1862', '1852', '1834', '1805', '1796', '1782', '1688', '1667', '1620', '1590', '1551', '1545', '1537', '1491', '1482', '1476', '1466', '1437', '1435', '1418', '1405', '1365', '1355', '1270', '1244', '1218', '1194', '1178', '1150', '1095', '1025', '1012', '998', '970', '965', '956', '915', '907', '902', '892', '851', '844', '818', '814', '813', '808', '798', '743', '705', '701', '698', '666', '662', '641', '635', '615', '599', '578', '565', '543', '540', '511', '498', '487', '486', '482', '480', '433', '432', '422', '419', '415', '412', '406', '384', '380', '372', '363', '29', '8', 'Unnamed: 0')",196,204.32311089999985,2498.80859375,0.8089171974522293,0.8488664987405542,0.9119364727022885,"[[210  28]
 [ 32 127]]"
"StackingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', RandomForestClassifier(n_jobs=-1))],
                   n_jobs=-1)","('4284', '4275', '4255', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4155', '4152', '4135', '4029', '4016', '4015', '3983', '3968', '3964', '3897', '3896', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3829', '3793', '3785', '3780', '3737', '3720', '3680', '3653', '3616', '3611', '3574', '3519', '3417', '3411', '3320', '3301', '3291', '3279', '3267', '3265', '3258', '3255', '3214', '3211', '3203', '3143', '3125', '3107', '3081', '3066', '3043', '3042', '3034', '3026', '3025', '3021', '2996', '2972', '2925', '2900', '2899', '2873', '2849', '2828', '2806', '2803', '2787', '2764', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2564', '2519', '2500', '2429', '2403', '2363', '2332', '2331', '2325', '2322', '2179', '2155', '2130', '2120', '2119', '2115', '2113', '2096', '2094', '2093', '2092', '2080', '2060', '1993', '1981', '1975', '1970', '1960', '1919', '1862', '1852', '1834', '1805', '1796', '1782', '1688', '1667', '1620', '1590', '1551', '1545', '1537', '1491', '1482', '1476', '1466', '1437', '1435', '1418', '1405', '1365', '1355', '1270', '1244', '1218', '1194', '1178', '1150', '1095', '1025', '1012', '998', '970', '965', '956', '915', '907', '902', '892', '851', '844', '818', '814', '813', '808', '798', '743', '705', '701', '698', '666', '662', '641', '635', '615', '599', '578', '565', '543', '540', '511', '498', '487', '486', '482', '480', '433', '432', '422', '419', '415', '412', '406', '384', '380', '372', '363', '8', 'Unnamed: 0')",193,205.62963219999983,2471.9921875,0.8063492063492064,0.8463476070528967,0.9108794461180698,"[[209  29]
 [ 32 127]]"
"StackingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', RandomForestClassifier(n_jobs=-1))],
                   n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4155', '4152', '4135', '4029', '4016', '4015', '3983', '3968', '3964', '3897', '3896', '3892', '3890', '3884', '3848', '3847', '3845', '3835', '3829', '3793', '3785', '3780', '3737', '3721', '3720', '3680', '3653', '3616', '3611', '3574', '3519', '3417', '3411', '3337', '3320', '3301', '3291', '3279', '3267', '3265', '3258', '3255', '3214', '3211', '3203', '3143', '3125', '3107', '3081', '3066', '3058', '3043', '3042', '3034', '3027', '3025', '3021', '2972', '2969', '2925', '2920', '2900', '2899', '2873', '2828', '2806', '2803', '2787', '2720', '2719', '2711', '2657', '2598', '2596', '2585', '2564', '2519', '2500', '2429', '2403', '2363', '2332', '2331', '2325', '2322', '2182', '2179', '2155', '2130', '2120', '2119', '2115', '2113', '2094', '2093', '2092', '2080', '2060', '1993', '1981', '1975', '1970', '1960', '1919', '1862', '1852', '1834', '1805', '1796', '1782', '1688', '1620', '1590', '1551', '1545', '1537', '1491', '1476', '1449', '1437', '1435', '1418', '1405', '1365', '1355', '1283', '1270', '1244', '1218', '1194', '1181', '1178', '1161', '1150', '1148', '1095', '1025', '1012', '970', '965', '956', '916', '915', '907', '902', '892', '851', '844', '818', '814', '813', '798', '791', '705', '701', '666', '641', '635', '623', '615', '599', '578', '565', '551', '543', '540', '511', '498', '487', '486', '482', '480', '433', '419', '415', '412', '406', '384', '380', '372', '363', '29', '8', 'Unnamed: 0')",196,202.7016569999996,2556.94921875,0.8051948051948054,0.8488664987405542,0.9184239733629301,"[[213  25]
 [ 35 124]]"
"StackingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', RandomForestClassifier(n_jobs=-1))],
                   n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4152', '4135', '4029', '4016', '4015', '3983', '3968', '3964', '3897', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3835', '3829', '3793', '3785', '3780', '3737', '3721', '3720', '3680', '3653', '3616', '3611', '3519', '3417', '3411', '3337', '3301', '3291', '3279', '3267', '3265', '3258', '3255', '3214', '3211', '3203', '3143', '3125', '3107', '3081', '3066', '3058', '3042', '3034', '3027', '3025', '3021', '2996', '2972', '2925', '2920', '2900', '2899', '2873', '2849', '2828', '2806', '2803', '2787', '2764', '2720', '2719', '2711', '2678', '2657', '2598', '2596', '2564', '2519', '2403', '2363', '2325', '2322', '2179', '2155', '2130', '2119', '2115', '2096', '2094', '2093', '2092', '2080', '2060', '1993', '1981', '1975', '1970', '1960', '1919', '1862', '1852', '1834', '1805', '1796', '1782', '1667', '1620', '1590', '1545', '1537', '1491', '1482', '1476', '1466', '1449', '1437', '1418', '1405', '1365', '1355', '1283', '1270', '1244', '1218', '1194', '1181', '1178', '1161', '1150', '1148', '1095', '1025', '1012', '998', '970', '956', '916', '915', '907', '902', '892', '851', '844', '814', '813', '808', '791', '743', '705', '701', '698', '666', '662', '641', '635', '623', '615', '599', '578', '565', '551', '543', '540', '511', '498', '487', '486', '482', '480', '433', '432', '422', '419', '415', '412', '406', '384', '372', '363', '29', '8', 'Unnamed: 0')",191,239.6214041999997,2386.1796875,0.8051948051948054,0.8488664987405542,0.9110512129380055,"[[213  25]
 [ 35 124]]"
"StackingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', RandomForestClassifier(n_jobs=-1))],
                   n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4155', '4152', '4135', '4016', '4015', '3983', '3968', '3896', '3892', '3890', '3884', '3848', '3847', '3829', '3793', '3785', '3780', '3737', '3720', '3680', '3653', '3616', '3611', '3574', '3417', '3411', '3320', '3301', '3291', '3279', '3267', '3265', '3258', '3255', '3214', '3211', '3203', '3143', '3125', '3107', '3081', '3066', '3043', '3042', '3034', '3026', '3025', '3021', '2996', '2972', '2925', '2900', '2899', '2873', '2849', '2828', '2806', '2803', '2787', '2764', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2564', '2519', '2500', '2429', '2403', '2363', '2332', '2331', '2325', '2322', '2179', '2155', '2130', '2120', '2119', '2115', '2113', '2096', '2094', '2093', '2092', '2080', '2060', '1993', '1981', '1975', '1970', '1960', '1919', '1862', '1852', '1834', '1805', '1796', '1782', '1688', '1667', '1620', '1590', '1551', '1545', '1537', '1491', '1482', '1476', '1466', '1437', '1435', '1418', '1405', '1365', '1355', '1270', '1244', '1218', '1194', '1178', '1150', '1095', '1025', '1012', '998', '970', '965', '956', '915', '907', '902', '892', '851', '844', '818', '814', '813', '808', '798', '743', '705', '701', '698', '666', '662', '641', '635', '615', '599', '578', '565', '543', '540', '511', '498', '487', '486', '482', '480', '433', '432', '422', '419', '415', '412', '406', '384', '380', '372', '363', '29', '8', 'Unnamed: 0')",189,263.8817894999993,2602.578125,0.8051118210862621,0.8463476070528967,0.9088182442788437,"[[210  28]
 [ 33 126]]"
"StackingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', RandomForestClassifier(n_jobs=-1))],
                   n_jobs=-1)","('4284', '4275', '4274', '4251', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4155', '4152', '4029', '4016', '4015', '3983', '3968', '3964', '3897', '3896', '3892', '3884', '3847', '3845', '3835', '3829', '3793', '3780', '3737', '3720', '3680', '3653', '3616', '3611', '3574', '3519', '3417', '3411', '3320', '3301', '3265', '3258', '3255', '3214', '3211', '3203', '3143', '3125', '3107', '3081', '3066', '3043', '3042', '3034', '3026', '3025', '2996', '2972', '2925', '2900', '2899', '2873', '2849', '2828', '2806', '2803', '2787', '2764', '2720', '2719', '2711', '2678', '2657', '2598', '2596', '2585', '2564', '2519', '2500', '2429', '2403', '2363', '2332', '2331', '2325', '2322', '2179', '2155', '2119', '2115', '2113', '2096', '2094', '2093', '2092', '2080', '2060', '1993', '1975', '1970', '1960', '1919', '1862', '1852', '1834', '1805', '1796', '1782', '1688', '1667', '1620', '1590', '1551', '1491', '1482', '1476', '1466', '1449', '1437', '1435', '1418', '1405', '1365', '1355', '1244', '1218', '1194', '1178', '1150', '1095', '1025', '1012', '998', '970', '965', '956', '915', '907', '902', '892', '851', '844', '818', '814', '808', '798', '743', '705', '701', '698', '666', '662', '641', '635', '599', '578', '565', '543', '540', '511', '498', '487', '486', '433', '432', '422', '419', '415', '412', '406', '384', '380', '372', '363', '29', '8', 'Unnamed: 0')",178,257.8778689999999,2603.1875,0.8051118210862621,0.8463476070528967,0.9090692880925955,"[[210  28]
 [ 33 126]]"
"StackingClassifier(estimators=[('e1', DecisionTreeClassifier()),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', RandomForestClassifier(n_jobs=-1))],
                   n_jobs=-1)","('4284', '4275', '4274', '4251', '4223', '4218', '4196', '4195', '4180', '4169', '4163', '4155', '4152', '4135', '4016', '4015', '3983', '3968', '3896', '3892', '3890', '3884', '3848', '3847', '3829', '3793', '3785', '3780', '3737', '3720', '3680', '3653', '3616', '3611', '3574', '3417', '3411', '3320', '3301', '3291', '3279', '3267', '3265', '3258', '3255', '3214', '3211', '3203', '3143', '3125', '3107', '3081', '3066', '3043', '3034', '3026', '3025', '3021', '2996', '2972', '2925', '2900', '2899', '2873', '2849', '2828', '2806', '2803', '2787', '2764', '2720', '2719', '2678', '2657', '2598', '2596', '2585', '2564', '2519', '2500', '2429', '2403', '2363', '2332', '2331', '2325', '2322', '2179', '2155', '2130', '2120', '2119', '2115', '2113', '2096', '2094', '2093', '2092', '2080', '2060', '1993', '1981', '1975', '1970', '1960', '1919', '1862', '1852', '1834', '1805', '1796', '1782', '1688', '1667', '1620', '1590', '1551', '1545', '1537', '1491', '1482', '1476', '1466', '1437', '1435', '1418', '1405', '1365', '1355', '1270', '1244', '1218', '1194', '1178', '1150', '1095', '1025', '1012', '998', '970', '965', '956', '915', '907', '902', '892', '851', '844', '818', '814', '813', '808', '798', '743', '705', '701', '698', '666', '662', '641', '615', '599', '578', '565', '543', '540', '511', '498', '487', '486', '482', '480', '433', '432', '422', '412', '406', '384', '380', '372', '363', '29', '8', 'Unnamed: 0')",184,268.5934714999985,2577.0078125,0.8051118210862621,0.8463476070528967,0.912742455472755,"[[210  28]
 [ 33 126]]"
