alteracoes,com_problema
nc,0
conforme pdi anterior,0
painel informando a necessidade de troca de oleo,1
sa,0
sem alteracoes visiveis,0
s a,0
nao,0
viatura com ruido ao acelerar nas retomadas a ser identificada a origem vazamento de oleo,1
ar condicionado sem eficiencia,0
ar condicionado com problemas nao gela,0
ar condicionado com problemas,0
vidro do farol de milha lado esquerdo quebrado,0
sem alteracoes,0
sem alteracao,0
amassado na parte traseira para choque dianteiro arranhado sensor do limpador do para brisa sem funcionar direito pequeno amassado na coluna esquerda aparentemente encostada no momento de abrir a porta do motorista,0
limpador do para brisa sem funcionar direito as velocidades,1
barulho na suspensao,0
pneus dianteiros com desgaste interno,1
viatura levada para revisao na mecanica sponchiado,0
limpador de para brisa ineficiente,1
farol baixo iluminando muito perto,0
sem alteracoes sem alteracoes,0
sem,0
direcao puxando para a direita,0
mesmas pdi anterior,0
conferencia nivel fluido refrigeracao ok nivel oleo motor ok nivel fluido freio ok nivel fluido direcao ok iluminacao ok lataria riscos e arranhoes decorrentes de desgaste radio ok obs 04 pneus substituidos em 19 09 km 77465 locatelli pneus sistema de freios requer cuidado sendo necessario antecipar seu acionamento,0
alerta de nao utilizacao do cinto de seguranca durante deslocamento da viatura ocorre mesmo os ocupantes usando o cinto,0
sem radio,0
alem das alteracoes ja lancadas nas pd s anteriores observou se 1 arranhado com amassado no protetor de para choque dianteiro santo antonio 2 para barro lado direito danificado 3 arranhoes na lataria em diversos pontos do veiculo e 4 pneu dianteiro lado direito avariado com bolha,0
barulho no ar condicionado e farol direito queimado,0
em analise,0
banda de rodagem bastante desgastada pneus dianteiros  aplicado macarrao no pneu dianteiro esquerdo para reparar furo 12 02 20201,0
arranhao na porta traseira esquerda pequeno amassado na porta dianteira direita fratura no para brisa do lado esquerdo capota maritima danificada amassado na tampa da carroceria arranhoes de uso interno e externo luzes de iluminacao laterais que ficam junto ao luminoso nao funcionam para choque dianteiro lado esquerdo desencaixado borracha da porta traseira esquerda saindo chave da viatura esta torta empenada volante desalinhado para a esquerda,0
sem anormalidade,0
indicador no painel de defeito nos sistemas de controle de estabilidade e tracao,1
sem alteracoes significativas,0
viatura utilizada pelo gft,0
fd,0
colocar forracao do paralama e farol auxiliar dianteiros lado direito,0
x,0
1 tampa traseira amassada 2 arranhoes em toda lataria 3 para lama direito e porta dianteira direita amassados 4 mascara do farol traseiro direito quebrado,0
proxima troca de oleo aos 150 000 km,0
sem nenhum tapete,0
conforme registros anteriores das 7h as 13h esta vtr foi utilizada pelos prf s uchoa e francenildo na pdi da operacao rodovida,1
veiculo com a bateria inoperante,1
1 chave nao ativa o alarme e as travas,0
vidro dianteiro esquerdo,0
vtr nao funciona estacionada na uop pedrinhas,1
tampa da capota esta sem macaneta que foi localizada no porta objetos da porta do motorista,0
localizado oculos e carregador de celular de algum prf guardada na uop01 bastante sujeira na vtr,0
revisao de 20 000km vencida viatura parada com revisao agendada para 18 02 2021 vtr entregue na autorizada para revisao 18 02 2021 10 20,0
vtr com muita sujeira,0
xxx,0
luz do air bag acesa,1
paletas do limpador do parabrisa necessitam de troca e farois com baixa eficiencia,1
equipe nao utilizou a vtr durante o plantao recebemos o servico sem novas alteracoes,0
pequena trinca no para brisas dianteiro na area inferior esquerda,0
arranhao para choque traseiro lado direito e morsa para lama dianteiro lado esquerdo,0
radio de comunicacao inoperante aparelho de comando do sistema de iluminacao giroflex esta com botoes danificados,1
